,Month,Year,Day,Predicted
357,2.0,1995.0,23,1.305354
358,2.0,1995.0,24,1.305683
359,2.0,1995.0,28,1.3067577
360,3.0,1995.0,1,1.3107367
361,3.0,1995.0,2,1.3163089
362,3.0,1995.0,3,1.3207737
363,3.0,1995.0,7,1.3254807
364,3.0,1995.0,8,1.3292452
365,3.0,1995.0,9,1.3329774
366,3.0,1995.0,10,1.3361187
367,3.0,1995.0,14,1.339212
368,3.0,1995.0,15,1.3419093
369,3.0,1995.0,16,1.3444834
370,3.0,1995.0,17,1.3470258
371,3.0,1995.0,21,1.3481839
372,3.0,1995.0,22,1.34812
373,3.0,1995.0,23,1.3486118
374,3.0,1995.0,24,1.3497958
375,3.0,1995.0,28,1.3507825
376,3.0,1995.0,29,1.3508304
377,3.0,1995.0,30,1.3484862
378,3.0,1995.0,31,1.3491364
379,4.0,1995.0,4,1.349891
380,4.0,1995.0,5,1.349848
381,4.0,1995.0,6,1.3499323
382,4.0,1995.0,7,1.3503399
383,4.0,1995.0,11,1.352058
384,4.0,1995.0,12,1.3544191
385,4.0,1995.0,13,1.3565778
386,4.0,1995.0,14,1.357688
387,4.0,1995.0,18,1.3593894
388,4.0,1995.0,19,1.3598416
389,4.0,1995.0,20,1.3612384
390,4.0,1995.0,21,1.3626976
391,4.0,1995.0,25,1.366027
392,4.0,1995.0,26,1.3683772
393,4.0,1995.0,27,1.3710637
394,4.0,1995.0,28,1.3730559
395,5.0,1995.0,2,1.3752867
396,5.0,1995.0,3,1.3771182
397,5.0,1995.0,4,1.3788921
398,5.0,1995.0,5,1.3802838
399,5.0,1995.0,9,1.3818971
400,5.0,1995.0,10,1.3835055
401,5.0,1995.0,11,1.3838675
402,5.0,1995.0,12,1.3827186
403,5.0,1995.0,16,1.3821857
404,5.0,1995.0,17,1.3822482
405,5.0,1995.0,18,1.3822364
406,5.0,1995.0,19,1.3813212
407,5.0,1995.0,23,1.3779806
408,5.0,1995.0,24,1.3777095
409,5.0,1995.0,25,1.3776281
410,5.0,1995.0,26,1.3769517
411,5.0,1995.0,31,1.3761988
412,6.0,1995.0,1,1.3758559
413,6.0,1995.0,2,1.37706
414,6.0,1995.0,6,1.3789421
415,6.0,1995.0,7,1.380413
416,6.0,1995.0,8,1.3810802
417,6.0,1995.0,9,1.3823378
418,6.0,1995.0,13,1.3821498
419,6.0,1995.0,14,1.3832124
420,6.0,1995.0,15,1.3840002
421,6.0,1995.0,16,1.3868109
422,6.0,1995.0,20,1.3889145
423,6.0,1995.0,21,1.3911269
424,6.0,1995.0,22,1.3927687
425,6.0,1995.0,23,1.3946384
426,6.0,1995.0,27,1.3962418
427,6.0,1995.0,28,1.3977624
428,6.0,1995.0,29,1.3989174
429,6.0,1995.0,30,1.4003766
430,7.0,1995.0,4,1.4017799
431,7.0,1995.0,6,1.4017365
432,7.0,1995.0,7,1.4004257
433,7.0,1995.0,11,1.4000007
434,7.0,1995.0,12,1.4001681
435,7.0,1995.0,13,1.4004159
436,7.0,1995.0,14,1.3993844
437,7.0,1995.0,18,1.3962057
438,7.0,1995.0,19,1.3960288
439,7.0,1995.0,20,1.3960993
440,7.0,1995.0,21,1.3952675
441,7.0,1995.0,25,1.3945565
442,7.0,1995.0,26,1.3944764
443,7.0,1995.0,27,1.3958397
444,7.0,1995.0,28,1.3978876
445,8.0,1995.0,1,1.3995322
446,8.0,1995.0,2,1.4002554
447,8.0,1995.0,3,1.4014261
448,8.0,1995.0,4,1.4010556
449,8.0,1995.0,8,1.4020277
450,8.0,1995.0,9,1.3963782
451,8.0,1995.0,10,1.3931494
452,8.0,1995.0,11,1.3899451
453,8.0,1995.0,15,1.3872868
454,8.0,1995.0,16,1.3845606
455,8.0,1995.0,17,1.3824843
456,8.0,1995.0,18,1.3803699
457,8.0,1995.0,22,1.378459
458,8.0,1995.0,23,1.3766313
459,8.0,1995.0,24,1.3753294
460,8.0,1995.0,25,1.3743255
461,8.0,1995.0,29,1.3723359
462,8.0,1995.0,30,1.3692708
463,8.0,1995.0,31,1.3671476
464,9.0,1995.0,1,1.3657532
465,9.0,1995.0,6,1.364635
466,9.0,1995.0,7,1.3623862
467,9.0,1995.0,8,1.3582687
468,9.0,1995.0,12,1.3572178
469,9.0,1995.0,13,1.3563639
470,9.0,1995.0,14,1.3545929
471,9.0,1995.0,15,1.353326
472,9.0,1995.0,19,1.352635
473,9.0,1995.0,20,1.353401
474,9.0,1995.0,21,1.3548496
475,9.0,1995.0,22,1.355997
476,9.0,1995.0,26,1.3562757
477,9.0,1995.0,27,1.3569658
478,9.0,1995.0,28,1.3566029
479,9.0,1995.0,29,1.3573879
480,10.0,1995.0,3,1.3572898
481,10.0,1995.0,4,1.3590447
482,10.0,1995.0,5,1.3601924
483,10.0,1995.0,6,1.3617008
484,10.0,1995.0,11,1.3628088
485,10.0,1995.0,12,1.3641284
486,10.0,1995.0,13,1.3651959
487,10.0,1995.0,17,1.3661714
488,10.0,1995.0,18,1.367031
489,10.0,1995.0,19,1.3681216
490,10.0,1995.0,20,1.3692045
491,10.0,1995.0,24,1.369192
492,10.0,1995.0,25,1.3677865
493,10.0,1995.0,26,1.3671824
494,10.0,1995.0,27,1.3671987
495,10.0,1995.0,31,1.3673555
496,11.0,1995.0,1,1.3661591
497,11.0,1995.0,2,1.3629153
498,11.0,1995.0,3,1.362519
499,11.0,1995.0,7,1.362261
500,11.0,1995.0,8,1.3613013
501,11.0,1995.0,9,1.3605919
502,11.0,1995.0,10,1.3603352
503,11.0,1995.0,14,1.3614161
504,11.0,1995.0,15,1.3631083
505,11.0,1995.0,16,1.364518
506,11.0,1995.0,17,1.3651041
507,11.0,1995.0,21,1.3660842
508,11.0,1995.0,22,1.3659666
509,11.0,1995.0,23,1.3671303
510,11.0,1995.0,28,1.3664753
511,11.0,1995.0,29,1.368007
512,11.0,1995.0,30,1.3691355
