Date,Open,High,Low,Close
19950512,1.338,1.338,1.3181,1.3181
19950516,1.3204,1.3255,1.3204,1.3255
19950517,1.3255,1.3255,1.3212,1.3212
19950518,1.3212,1.3212,1.3081,1.3081
19950519,1.3081,1.3193,1.3081,1.3193
19950523,1.3181,1.3181,1.3113,1.3113
19950524,1.3113,1.3201,1.3113,1.3201
19950525,1.3201,1.3522,1.3201,1.3522
19950526,1.3522,1.3729,1.3522,1.3729
19950531,1.3647,1.3647,1.3441,1.3441
19950601,1.3441,1.3441,1.3426,1.3426
19950602,1.3426,1.3426,1.3424,1.3424
19950606,1.3547,1.3547,1.3447,1.3447
19950607,1.3447,1.3501,1.3447,1.3501
19950608,1.3501,1.3501,1.3432,1.3432
19950609,1.3432,1.3539,1.3432,1.3539
19950613,1.3533,1.3533,1.3493,1.3493
19950614,1.3493,1.3568,1.3493,1.3568
19950615,1.3568,1.3568,1.3458,1.3458
19950616,1.3458,1.3544,1.3458,1.3544
19950620,1.3525,1.3605,1.3525,1.3605
19950621,1.3605,1.3636,1.3605,1.3636
19950622,1.3636,1.3636,1.3568,1.3568
19950623,1.3568,1.3675,1.3568,1.3675
19950627,1.3617,1.3682,1.3617,1.3682
19950628,1.3682,1.3682,1.3539,1.3539
19950629,1.3539,1.3687,1.3539,1.3687
19950630,1.3687,1.3687,1.3674,1.3674
19950704,1.3718,1.3726,1.3718,1.3726
19950706,1.3726,1.3726,1.3709,1.3709
19950707,1.3709,1.3709,1.3644,1.3644
19950711,1.3615,1.3615,1.3563,1.3563
19950712,1.3563,1.358,1.3563,1.358
19950713,1.358,1.367,1.358,1.367
19950714,1.367,1.3678,1.367,1.3678
19950718,1.3652,1.369,1.3652,1.369
19950719,1.369,1.3713,1.369,1.3713
19950720,1.3713,1.3771,1.3713,1.3771
19950721,1.3771,1.3772,1.3771,1.3772
19950725,1.3757,1.3757,1.3672,1.3672
19950726,1.3672,1.3741,1.3672,1.3741
19950727,1.3741,1.3789,1.3741,1.3789
19950728,1.3789,1.3822,1.3789,1.3822
19950801,1.3775,1.382,1.3775,1.382
19950802,1.382,1.382,1.3684,1.3684
19950803,1.3684,1.3783,1.3684,1.3783
19950804,1.3783,1.3783,1.3736,1.3736
19950808,1.3635,1.3635,1.3601,1.3601
19950809,1.3601,1.3622,1.3601,1.3622
19950810,1.3622,1.3622,1.351,1.351
19950811,1.351,1.351,1.3402,1.3402
19950815,1.3386,1.3386,1.3074,1.3074
19950816,1.3074,1.3077,1.3074,1.3077
19950817,1.3077,1.3077,1.3045,1.3045
19950818,1.3045,1.3083,1.3045,1.3083
19950822,1.3102,1.3102,1.301,1.301
19950823,1.301,1.3027,1.301,1.3027
19950824,1.3027,1.3067,1.3027,1.3067
19950825,1.3067,1.3067,1.304,1.304
19950829,1.3129,1.3129,1.3058,1.3058
19950830,1.3058,1.3058,1.3037,1.3037
19950831,1.3037,1.3097,1.3037,1.3097
19950901,1.3097,1.311,1.3097,1.311
19950906,1.3122,1.3122,1.3021,1.3021
19950907,1.3021,1.304,1.3021,1.304
19950908,1.304,1.304,1.3032,1.3032
19950912,1.3066,1.3084,1.3066,1.3084
19950913,1.3084,1.3084,1.293,1.293
19950914,1.293,1.2974,1.293,1.2974
19950915,1.2974,1.2974,1.2967,1.2967
19950919,1.2978,1.2978,1.2973,1.2973
19950920,1.2973,1.3098,1.2973,1.3098
19950921,1.3098,1.3345,1.3098,1.3345
19950922,1.3345,1.3479,1.3345,1.3479
19950926,1.3352,1.3393,1.3352,1.3393
19950927,1.3393,1.3396,1.3393,1.3396
19950928,1.3396,1.3448,1.3396,1.3448
19950929,1.3448,1.3448,1.3389,1.3389
19951003,1.3397,1.3397,1.3292,1.3292
19951004,1.3292,1.3357,1.3292,1.3357
19951005,1.3357,1.3402,1.3357,1.3402
19951006,1.3402,1.3402,1.3386,1.3386
19951011,1.3428,1.3428,1.3395,1.3395
19951012,1.3395,1.3436,1.3395,1.3436
19951013,1.3436,1.3436,1.3363,1.3363
19951017,1.3429,1.3473,1.3429,1.3473
19951018,1.3473,1.3473,1.3413,1.3413
19951019,1.3413,1.3509,1.3413,1.3509
19951020,1.3509,1.3586,1.3509,1.3586
19951024,1.3675,1.3675,1.3669,1.3669
19951025,1.3669,1.3669,1.363,1.363
19951026,1.363,1.363,1.3563,1.3563
19951027,1.3563,1.3583,1.3563,1.3583
19951031,1.3564,1.3564,1.355,1.355
19951101,1.355,1.355,1.3488,1.3488
19951102,1.3488,1.3488,1.3475,1.3475
19951103,1.3475,1.3484,1.3475,1.3484
19951107,1.3514,1.3514,1.35,1.35
19951108,1.35,1.3504,1.35,1.3504
19951109,1.3504,1.354,1.3504,1.354
19951110,1.354,1.354,1.3526,1.3526
19951114,1.3475,1.3527,1.3475,1.3527
19951115,1.3527,1.3611,1.3527,1.3611
19951116,1.3611,1.3611,1.3561,1.3561
19951117,1.3561,1.362,1.3561,1.362
19951121,1.3566,1.3569,1.3566,1.3569
19951122,1.3569,1.3609,1.3569,1.3609
19951123,1.3609,1.3609,1.3513,1.3513
19951128,1.3383,1.3424,1.3383,1.3424
